Humidity,Temperature,PPM,Room
36.00,32.80,10.09,Cold
51.00,23.80,9.18,Cold
51.00,23.80,11.40,Cold
51.00,23.80,11.06,Cold
51.00,23.80,11.40,Cold
51.00,23.80,12.44,Cold
51.00,23.80,11.74,Cold
51.00,23.80,11.74,Cold
51.00,23.80,12.80,Cold
51.00,23.80,12.09,Cold
51.00,23.80,14.31,Cold
51.00,24.10,12.44,Cold
51.00,24.10,13.54,Cold
51.00,24.10,13.92,Cold
51.00,24.10,15.51,Cold
51.00,24.10,14.70,Cold
51.00,24.10,14.70,Cold
51.00,24.10,13.54,Cold
51.00,24.10,15.10,Cold
51.00,24.10,15.51,Cold
51.00,24.10,15.92,Cold
51.00,24.10,17.64,Cold
51.00,24.10,14.70,Cold
51.00,24.10,15.92,Cold
51.00,24.10,15.10,Cold
51.00,24.10,16.77,Cold
51.00,24.10,17.20,Cold
51.00,24.10,17.64,Cold
51.00,24.10,18.54,Cold
51.00,24.10,15.92,Cold
51.00,24.10,17.64,Cold
51.00,24.20,17.64,Cold
51.00,24.20,18.09,Cold
51.00,24.50,16.34,Cold
51.00,24.50,16.77,Cold
51.00,24.50,17.64,Cold
51.00,24.50,17.64,Cold
51.00,24.50,17.64,Cold
51.00,24.50,17.64,Cold
51.00,24.50,17.64,Cold
51.00,24.50,16.34,Cold
51.00,24.50,19.00,Cold
51.00,24.50,18.09,Cold
51.00,24.50,19.00,Cold
51.00,24.50,18.54,Cold
51.00,24.50,18.09,Cold
51.00,24.50,15.92,Cold
51.00,24.50,18.09,Cold
51.00,24.50,18.09,Cold
51.00,24.50,18.54,Cold
47.00,30.80,20.92,Hot
47.00,30.80,19.00,Hot
47.00,32.30,21.42,Hot
47.00,32.30,21.42,Hot
45.00,33.30,21.42,Hot
45.00,33.30,21.42,Hot
44.00,34.20,20.92,Hot
44.00,34.20,20.92,Hot
42.00,35.20,20.92,Hot
42.00,35.20,20.43,Hot
42.00,36.30,20.43,Hot
42.00,36.30,20.43,Hot
40.00,37.40,21.42,Hot
40.00,37.40,21.42,Hot
39.00,38.00,19.47,Hot
39.00,38.00,22.43,Hot
38.00,39.00,19.95,Hot
38.00,39.00,22.95,Hot
38.00,39.50,21.42,Hot
38.00,39.50,19.00,Hot
36.00,40.10,21.42,Hot
36.00,40.10,20.92,Hot
35.00,41.10,20.43,Hot
35.00,41.10,19.95,Hot
34.00,41.60,20.43,Hot
34.00,41.60,20.43,Hot
33.00,42.00,20.43,Hot
33.00,42.00,19.95,Hot
33.00,42.50,21.42,Hot
33.00,42.50,20.43,Hot
32.00,42.60,18.09,Hot
32.00,42.60,19.47,Hot
31.00,43.00,19.47,Hot
31.00,43.00,18.09,Hot
30.00,43.50,19.47,Hot
30.00,43.50,18.54,Hot
30.00,43.50,19.00,Hot
30.00,43.50,18.54,Hot
29.00,43.90,18.54,Hot
29.00,43.90,18.54,Hot
29.00,44.00,18.54,Hot
29.00,44.00,19.47,Hot
28.00,44.40,15.51,Hot
28.00,44.40,19.00,Hot
27.00,44.40,18.54,Hot
27.00,44.40,18.54,Hot
27.00,44.80,18.54,Hot
27.00,44.80,17.64,Hot
27.00,44.80,18.54,Hot
27.00,44.80,15.51,Hot
20.00,45.70,233.61,Toxic
20.00,45.70,269.70,Toxic
20.00,45.70,281.64,Toxic
20.00,45.70,306.76,Toxic
20.00,45.30,272.65,Toxic
20.00,45.30,272.65,Toxic
20.00,45.30,306.76,Toxic
20.00,45.30,313.30,Toxic
20.00,45.30,306.76,Toxic
20.00,45.30,319.96,Toxic
20.00,45.30,323.34,Toxic
20.00,45.30,337.11,Toxic
20.00,45.20,389.08,Toxic
20.00,45.20,413.26,Toxic
21.00,44.80,460.78,Toxic
21.00,44.80,438.65,Toxic
21.00,44.80,421.58,Toxic
21.00,44.80,443.01,Toxic
21.00,44.80,479.15,Toxic
21.00,44.80,483.84,Toxic
21.00,44.80,469.89,Toxic
21.00,44.80,456.29,Toxic
21.00,44.60,443.01,Toxic
21.00,44.60,443.01,Toxic
21.00,44.40,493.32,Toxic
21.00,44.40,483.84,Toxic
21.00,44.40,502.97,Toxic
21.00,44.40,522.72,Toxic
21.00,44.40,479.15,Toxic
21.00,44.40,517.72,Toxic
21.00,44.40,522.72,Toxic
21.00,44.40,507.85,Toxic
21.00,44.10,512.76,Toxic
21.00,44.10,532.84,Toxic
21.00,43.90,548.34,Toxic
21.00,43.90,498.13,Toxic
21.00,43.90,522.72,Toxic
21.00,43.90,522.72,Toxic
21.00,43.90,543.13,Toxic
21.00,43.90,553.58,Toxic
21.00,43.90,537.97,Toxic
21.00,43.90,537.97,Toxic
21.00,43.80,569.58,Toxic
21.00,43.80,575.00,Toxic
21.00,43.50,564.21,Toxic
21.00,43.50,569.58,Toxic
21.00,43.50,553.58,Toxic
21.00,43.50,543.13,Toxic
21.00,43.50,564.21,Toxic
